,country_ID,country
1,0,Portugal
2,1,US
5,2,Spain
6,3,Italy
7,4,France
8,5,Germany
16,6,Argentina
36,7,Chile
77,8,Australia
93,9,Austria
125,10,South Africa
174,11,New Zealand
202,12,Israel
219,13,Hungary
271,14,Greece
306,15,Romania
454,16,Canada
601,17,Mexico
1187,18,Turkey
2272,19,Czech Republic
2292,20,Slovenia
3576,21,Luxembourg
4007,22,Croatia
4048,23,Georgia
4051,24,Uruguay
4073,25,England
4896,26,Lebanon
5085,27,Serbia
5852,28,Brazil
5996,29,Moldova
6008,30,Morocco
6565,31,Peru
6673,32,India
6970,33,Bulgaria
7568,34,Cyprus
8170,35,Armenia
14187,36,Switzerland
16467,37,Bosnia and Herzegovina
19530,38,Ukraine
22687,39,Slovakia
25466,40,Macedonia
109989,41,China
