,winery_ID,winery,province_ID
1,0,Quinta dos Avidagos,0
2,1,Rainstorm,1
3,2,St. Julian,2
4,3,Sweet Cheeks,1
5,4,Tandem,3
6,5,Terre di Giurfo,4
7,6,Trimbach,5
8,7,Heinz Eifel,6
9,8,Jean-Baptiste Adam,5
10,9,Kirkland Signature,7
11,10,Leon Beyer,5
12,11,Louis M. Martini,7
14,12,Mirassou,7
15,13,Richard Bocking,8
16,14,Felix Lavaque,9
17,15,Gaucho Andino,10
18,16,Pradorey,3
19,17,Quievremont,11
21,18,Acrobat,1
22,19,Baglio di Pianetto,4
23,20,Bianchi,7
24,21,Canicatti,4
25,22,Castello di Amorosa,7
26,23,Stemmari,4
29,24,Clarksburg Wine Company,7
35,25,Erath,1
36,26,Estampa,12
41,27,Hawkins Cellars,1
42,28,Henry Fessy,13
44,29,Sundance,14
49,30,Vignerons de Bel Air,13
51,31,Casa Silva,12
53,32,Chateau de Sours,15
56,33,Souverain,7
58,34,Tres Palacios,16
59,35,Mellisoni,17
60,36,Okapi,7
61,37,Podere dal Nespoli,18
62,38,Ram,17
63,39,Roland Champion,19
64,40,Sevtap,7
65,41,Simonnet-Febvre,20
66,42,Vignerons des Terres Secretes,20
67,43,Basel Cellars,17
68,44,Cocobon,7
69,45,Collet,19
70,46,Drumheller,17
71,47,Eco Terreno,7
72,48,Grifalco,21
73,49,Hindsight,7
75,50,Mulvane Wine Co.,7
76,51,Schmitt Sohne,6
77,52,Yalumba,22
78,53,Z'IVO,1
80,54,Aresti,23
81,55,Spyro,24
82,56,Lionel Osmin & Cie,25
83,57,Mitolo,22
84,58,Napa Cellars,7
85,59,P.J. Valckenberg,6
86,60,Palencia,17
87,61,Passaggio,7
88,62,Poggio Alloro,26
89,63,Fattoria Sardi,26
90,64,Ferrari-Carano,7
91,65,Folie a Deux,7
92,66,Franciscan,7
93,67,Fuchs,27
94,68,Gaard,17
97,69,Heron Hill,28
98,70,Serpaia di Endrizzi,26
99,71,Soquel Vineyards,7
100,72,Ventosa,28
101,73,Lamoreaux Landing,28
103,74,Leyda,29
104,75,Madonna Alta,26
105,76,Marchesi Antinori,26
106,77,Marchesi de' Frescobaldi,26
108,78,Martin Ranch,7
109,79,Ornellaia,26
110,80,Pardon et Fils,13
111,81,Pina,7
112,82,Podere Ciona,26
113,83,Poggioventoso,26
114,84,Pull,7
116,85,R2,7
117,86,Rideau,7
118,87,Tenuta Forconi,26
123,88,Henry's Drive Vignerons,22
125,89,Le Riche,30
132,90,Delheim,31
136,91,Lassegue,15
144,92,Terra Valentine,7
145,93,Testarossa,7
146,94,Vincent Vineyards,7
148,95,Weingut Liebfrauenstift,6
149,96,Wrath,7
150,97,Yardstick,7
151,98,Herdade Grande,32
152,99,Albatross Ridge,7
153,100,Alta Colina,7
154,101,Marques de Grinon,33
155,102,Big Basin,7
156,103,Carl Graff,8
157,104,Casa Santa Vitoria,32
158,105,Castello di Gabbiano,26
160,106,Chateau Vincens,34
161,107,Chronic Cellars,7
162,108,Claiborne & Churchill,7
164,109,Conde de Velazquez,35
165,110,Cono Sur,16
166,111,Domaine Berthoumieu,34
167,112,Dracaena,7
168,113,Duckhorn,7
169,114,Dutton-Goldfield,7
170,115,Fritz Haag,8
172,116,G7,36
173,117,Le Cadeau,1
174,118,Stoneleigh,37
176,119,TerraMater,16
179,120,La Chablisienne,20
183,121,Alamos,9
185,122,Apaltagua,12
188,123,Vina Bisquertt,12
189,124,Emiliana,38
193,125,Bertrand Ambroise,20
197,126,Spier,39
198,127,Sequum,7
199,128,Sierra Starr,7
201,129,Terlan,40
202,130,Yatir,41
