,province_ID,province,country_ID
1,0,Douro,0
2,1,Oregon,1
3,2,Michigan,1
5,3,Northern Spain,2
6,4,Sicily & Sardinia,3
7,5,Alsace,4
8,6,Rheinhessen,5
10,7,California,1
15,8,Mosel,5
16,9,Other,6
17,10,Mendoza Province,6
19,11,Virginia,1
36,12,Colchagua Valley,7
42,13,Beaujolais,4
44,14,Maule Valley,7
53,15,Bordeaux,4
58,16,Maipo Valley,7
59,17,Washington,1
61,18,Central Italy,3
63,19,Champagne,4
65,20,Burgundy,4
72,21,Southern Italy,3
77,22,South Australia,8
80,23,Rapel Valley,7
81,24,Galicia,2
82,25,France Other,4
88,26,Tuscany,3
93,27,Burgenland,9
97,28,New York,1
103,29,Leyda Valley,7
125,30,Stellenbosch,10
132,31,Simonsberg-Stellenbosch,10
151,32,Alentejano,0
154,33,Central Spain,2
160,34,Southwest France,4
164,35,Aconcagua Valley,7
172,36,Loncomilla Valley,7
174,37,Marlborough,11
189,38,Casablanca Valley,7
197,39,Western Cape,10
201,40,Northeastern Italy,3
202,41,Judean Hills,12
203,42,Alentejo,0
208,43,Coastal Region,10
209,44,Rhone Valley,4
215,45,Galilee,12
217,46,Beira Atlantico,0
219,47,Tokaj,13
269,48,Leithaberg,9
271,49,Santorini,14
280,50,Kremstal,9
287,51,Catalonia,2
306,52,Recas,15
311,53,Hawke's Bay,11
318,54,Curico Valley,7
327,55,Limari­ Valley,7
336,56,Colchagua Costa,7
337,57,Languedoc-Roussillon,4
338,58,Provence,4
345,59,Victoria,8
347,60,Rheingau,5
350,61,Piedmont,3
351,62,Tokaji,13
368,63,Veneto,3
391,64,Central Valley,7
393,65,Lontue Valley,7
423,66,Weinviertel,9
441,67,Niederosterreich,9
444,68,Wagram,9
447,69,Loire Valley,4
449,70,Lombardy,3
454,71,Ontario,16
502,72,Osterreichischer Sekt,9
584,73,Kamptal,9
586,74,Steiermark,9
587,75,Sudsteiermark,9
596,76,Crete,14
601,77,Valle de Guadalupe,17
613,78,Vinho Verde,0
622,79,Idaho,1
646,80,Tejo,0
652,81,Western Australia,8
667,82,Levante,2
710,83,Martinborough,11
714,84,Central Otago,11
718,85,Lisboa,0
724,86,Texas,1
737,87,Peni­nsula de Setubal,0
746,88,Australia Other,8
766,89,Tasmania,8
811,90,Franken,5
864,91,Ahr,5
903,92,Nahe,5
984,93,Dealu Mare,15
1063,94,Darling,10
1065,95,Port,0
1135,96,Chile,7
1153,97,Sudoststeiermark,9
1155,98,Corinth,14
1160,99,Halkidiki,14
1187,100,Thrace,18
1200,101,Pfalz,5
1242,102,Robertson,10
1265,103,Dan,12
1297,104,Northwestern Italy,3
1305,105,Andalucia,2
1319,106,Awatere Valley,11
1320,107,Wiener Gemischter Satz,9
1341,108,Wachau,9
1371,109,Pennsylvania,1
1389,110,Swartland,10
1400,111,Dao,0
1477,112,Rio Claro,7
1486,113,Villany,13
1499,114,Cachapoal Valley,7
1543,115,Jidvei,15
1551,116,Peninsula de Setubal,0
1627,117,America,1
